dra_id,dra_title,dra_year,dra_time,drama_url
73,Age of Youth,2016,60 min.,"https://m.media-amazon.com/images/M/MV5BZTRiNTJlMGUtNzRmOS00OGU5LWJjNzktOWNlMmI1ZTQ3NGI5XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SY150_CR2,0,101,150_.jpg"
74,Mystic Pop-Up Bar,2020,1 hr. 8 min.,"https://m.media-amazon.com/images/M/MV5BM2Q5NWE0ZjctYWI2MS00N2E1LWE5NjAtYTY5ZTRjN2ZmZWJlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SY150_CR2,0,101,150_.jpg"
75,Cruel City,2013,60 min.,"https://m.media-amazon.com/images/M/MV5BOGRhNzA5NjUtMWNhNS00MWViLTg3YWEtYzkzZDMwMTJlY2RhXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX101_CR0,0,101,150_.jpg"
76,365,2020,35 min.,"https://m.media-amazon.com/images/M/MV5BMDdhYzNkOWQtYWNlNi00NDdjLWJlZDMtMjJjZDYyNjAxM2U1XkEyXkFqcGdeQXVyMTQyMTMwOTk0._V1_SY150_CR6,0,101,150_.jpg"
77,Designated Survivor,2019,1 hr. 10 min.,"https://m.media-amazon.com/images/M/MV5BZTdkMGNhZmYtNzAxMy00NWJkLThkN2MtNjVkNzY0NzVlMWQ4XkEyXkFqcGdeQXVyMTA0MDgzNTE1._V1_SY150_CR0,0,101,150_.jpg"
78,Just Between Lovers,2017,1 hr. 13 min.,"https://m.media-amazon.com/images/M/MV5BMjRiMDcyMGItZDNjNy00ZTcyLWFlZDItNTY3YjEyMTg0MmIwXkEyXkFqcGdeQXVyNDU4MDQ0MjM@._V1_SY150_CR2,0,101,150_.jpg"
79,Squid Game,2021,60 min.,"https://m.media-amazon.com/images/M/MV5BYWE3MDVkN2EtNjQ5MS00ZDQ4LTliNzYtMjc2YWMzMDEwMTA3XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SY150_CR0,0,101,150_.jpg"
80,Avengers Social Club,2017,60 min.,"https://m.media-amazon.com/images/M/MV5BOTBmNjAxZTgtNmE3NS00ZmE4LWEzZTktNmFiZjQ0YWEzOWJmXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SY150_CR2,0,101,150_.jpg"
81,The Master's Sun,2013,1 hr. 2 min.,"https://m.media-amazon.com/images/M/MV5BYmEyNzBkZDQtODZjOS00NDQ3LTk2MGYtMTBiNWIyZjMxZDljXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX101_CR0,0,101,150_.jpg"
82,Once Again,2020,35 min.,"https://m.media-amazon.com/images/M/MV5BMjkzNGQxNzctNzhlYi00Mzc2LWIwMmYtYTgyNmQ3MWZlYWYxXkEyXkFqcGdeQXVyMjk4OTc2MTg@._V1_SY150_CR0,0,101,150_.jpg"
83,Save Me,2017,60 min.,"https://m.media-amazon.com/images/M/MV5BNzljODAwZTAtMjcxYi00MDIyLWIwNjMtNWE4ZDg3MDZiMTg1XkEyXkFqcGdeQXVyMTI5OTk3NDY5._V1_SY150_CR0,0,101,150_.jpg"
84,Bad Guys,2014,1 hr. 5 min.,"https://m.media-amazon.com/images/M/MV5BMDhkYmU0MzctMWEzNy00ODg1LWI3ZjAtMGZlZjkzNWVmMzVjXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_SX101_CR0,0,101,150_.jpg"
