mov_id,movie_title,movie_year,dra_time,Cast,Genre,drama_url
43,Dear My Friends,2016,1 hr. 10 min.,"Go Hyun Jung, Kim Hye Ja, Na Moon Hee, Go Doo Shim, Park Won Sook, Youn Yuh Jung","Life,  Drama,  Family,  Melodrama ","https://m.media-amazon.com/images/M/MV5BZjVjOGI0ZGEtYzQ2YS00NTFmLTg4MGMtM2ViYTRiNThhMDZiXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SY150_CR2,0,101,150_.jpg"
44,Dr. Romantic 2,2020,1 hr. 10 min.,"Han Seok Kyu, Ahn Hyo Seop, Lee Sung Kyung, Kim Joo Heon, Shin Dong Wook, So Ju Yeon","Romance,  Drama,  Medical,  Melodrama ","https://m.media-amazon.com/images/M/MV5BYmMyMTRjNzktODQwYS00YzUxLThiMWEtY2UwNWE5Y2E3NDcxXkEyXkFqcGdeQXVyNjI4NDY5ODM@._V1_SX101_CR0,0,101,150_.jpg"
45,"Kill Me, Heal Me",2015,1 hr. 2 min.,"Ji Sung, Hwang Jung Eum, Park Seo Joon, Kim Yoo Ri, Oh Min Suk, Kim Young Ae","Psychological,  Comedy,  Romance,  Drama ","https://m.media-amazon.com/images/M/MV5BNzdjMmM2Y2EtN2JhYi00ZmQ4LWJlZWYtMzRjNWQ5ZGU4ZTEwXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SX101_CR0,0,101,150_.jpg"
46,Arthdal Chronicles Part 2,2019,1 hr. 21 min.,"Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Jo Sung Ha, Park Hae Joon","Historical,  Romance,  Fantasy,  Political ","https://m.media-amazon.com/images/M/MV5BMGJiZDc1OWMtNzMwMC00NzM0LTljMDgtZGJjODVhZDMzMmJjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SY150_CR0,0,101,150_.jpg"
47,Misaeng,2014,1 hr. 20 min.,"Im Si Wan, Lee Sung Min, Kang So Ra, Kang Ha Neul, Byun Yo Han, Kim Dae Myung","Friendship,  Business,  Life,  Drama ","https://m.media-amazon.com/images/M/MV5BZmNiYjU3MDYtZDhlNy00ZWZjLTg0ZWUtYzA1OGQ3NTJkMDRlXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SY150_CR1,0,101,150_.jpg"
48,Arthdal Chronicles Part 3,2019,1 hr. 20 min.,"Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Kim Sung Chul, Karata Erika","Historical,  Romance,  Fantasy,  Political ","https://m.media-amazon.com/images/M/MV5BZjM4NWM0NWQtOGM5NS00ZDZhLTgxMjMtM2UzNDBhYWQ0ODU1XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SY150_CR2,0,101,150_.jpg"
49,My Name,2021,50 min.,"Han So Hee, Park Hee Soon , Ahn Bo Hyun, Lee Hak Joo, Kim  Sang Ho, Jang Yool","Action,  Thriller,  Crime ","https://m.media-amazon.com/images/M/MV5BZmMyNmMxZWYtODIyNy00NjE5LThjYjYtYmIwN2NmZGZiZjM5XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SY150_CR0,0,101,150_.jpg"
50,Hotel del Luna,2019,1 hr. 20 min.,"IU, Yeo Jin Goo, Shin Jung Keun, Bae Hae Seon, P.O, Jo Hyun Chul","Horror,  Comedy,  Romance,  Fantasy ","https://m.media-amazon.com/images/M/MV5BNWU3M2YxZmEtZTZiMi00NTBhLWEyYWMtOTBhOTEyMzkyYmI4XkEyXkFqcGdeQXVyMTA3MzQ4MTc0._V1_SX101_CR0,0,101,150_.jpg"
51,Dr. Romantic,2016,60 min.,"Han Seok Kyu, Yoo Yeon Seok, Seo Hyun Jin, Choi Jin Ho, Yang Se Jong, Jang Hyuk Jin","Romance,  Drama,  Medical ","https://m.media-amazon.com/images/M/MV5BYmMyMTRjNzktODQwYS00YzUxLThiMWEtY2UwNWE5Y2E3NDcxXkEyXkFqcGdeQXVyNjI4NDY5ODM@._V1_SX101_CR0,0,101,150_.jpg"
52,The Fiery Priest,2019,35 min.,"Kim Nam Gil, Kim Sung Kyun, Lee Ha Nee, Go Jun, Geum Sae Rok, Jeon Sung Woo","Action,  Mystery,  Comedy,  Crime ","https://m.media-amazon.com/images/M/MV5BNmJjMWNkOTctMTE4ZS00MTJlLWEyZjAtOThjMDM0Njk2MTMwXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX101_CR0,0,101,150_.jpg"
